Title,Description,Date,Source
İş Bankası'ndan borçlanma aracı ihracı için SPK başvurusu,İş Bankası yurt içinde 33 milyar TL'ye kadar borçlanma aracı ihracı ve 5 milyar TL'ye kadar sermaye benzeri tahvil ihracı için Sermaye Piyasası Kurulu'na başvurdu.,2022-10-31,BloombergHT
"Çavuşoğlu, Rus mevkidaşı ile tahıl koridorunu görüştü","Dışişleri Bakanı Çavuşoğlu, Rus mevkidaşı Sergey Lavrov ile tahıl koridorunu görüştü.",2022-10-31,BloombergHT
TEB'in sendikasyonunda da maliyet yükseldi,TEB'in sendikasyonunda maliyetlerin yükseldiği ve çevirme rasyosunun da düştüğü görüldü.,2022-10-31,BloombergHT
Hazine 2023'te 10 milyar dolar dış borçlanma öngörüyor,"Hazine ve Maliye Bakanlığı'nın 2023 yılına ilişkin borçlanma öngörülerinde dış borçlanmanın 10 milyar dolar seviyesinde olacağı beklentisi paylaşıldı. 2023'te iç borçlanma tarafında ise 918,3 milyar TL'lik borçlanma öngörüldü.",2022-10-31,BloombergHT
Şişecam'dan 3. çeyrekte hızlı performans,"Şişecam yılın 3. çeyreğinde 4,8 milyar TL'lik net dönem kârına imza attı. Şirket geçen yılın aynı döneminde 1,35 milyar TL'lik net dönem kârı elde etmişti.",2022-10-31,BloombergHT
Hazine'den yüksek iç borçlanma hedefi,"Hazine ve Maliye Bakanlığı, Kasım-Aralık-Ocak döneminde yüksek tutarlı iç borçlanma öngördü. Bakanlığın üç aylık iç borçlanma stratejisine göre Kasım ayında 31,2 milyar TL'lik iç borç servisine karşı, 57 milyar TL'lik iç borçlanma planlanıyor. Eylül ayının sonunda açıklanan bir önceki planlamada Kasım için 31,2 milyar TL borçlanma öngörülmüştü.",2022-10-31,BloombergHT
Merkez Bankası'ndan bankalara uyarı,Türkiye Cumhuriyet Merkez Bankası (TCMB) Türkiye Bankalar Birliği'ne gönderdiği yazıda kredi kullandırılan müşterilere mevduat zorunluluğu gibi bazı uygulamalar konusunda uyarıda bulundu.,2022-10-31,BloombergHT
Koza Altın'ın 3. çeyrek kârı beklentiyi aştı,"Koza Altın yılın 3. çeyreğinde 1,3 milyar TL ile beklentilerin üzerinde kâr açıkladı. Koza Altın 2021'in ilk dokuz aylık döneminde 192.812 ons toplam altın üretimi yaparken 2022 yılının aynı döneminde üretim 162.455 ons oldu.",2022-10-31,BloombergHT
"Akar, Rus mevkidaşı ile tahıl koridorunu konuştu","Milli Savunma Bakanı Akar, Rusya Savunma Bakanı Şoygu ile telefonda görüştü",2022-10-31,BloombergHT
Yapı Kredi 3. çeyrekte kârını beşe katladı,"Yapı Kredi 3. çeyrekte 16,13 milyar TL net kâr açıkladı. Geçen yılın aynı döneminde 3,25 milyar TL kâr açıklanmıştı.",2022-10-31,BloombergHT
